m1,m2,th,v0,lHS,lS,mu3,Tc,xi_c,status,error_msg
125.2,30.0,0.0,246.22,0.01,0.23713154336270137,0.0,158.79420668875582,0.15083269862998863,success,
125.2,30.0,0.0,246.22,0.01,1.0,0.0,158.81191738921007,0.15077562064029504,success,
125.2,30.0,0.0,246.22,0.1,0.009559363493795032,0.0,,,meta_stable,
125.2,30.0,0.0,246.22,0.1,0.024229429068641742,0.0,111.75716042900311,1.017966947429707,success,
125.2,30.0,0.0,246.22,0.1,0.061412586033934624,0.0,,,no_transition,
125.2,30.0,0.0,246.22,0.1,0.15565805173084288,0.0,,,no_transition,
125.2,30.0,0.0,246.22,0.1,0.3945352350942091,0.0,151.8518163720705,0.16881536671346706,success,
125.2,30.0,0.0,246.22,0.1,1.0,0.0,153.01260937870504,0.16557564144830417,success,
125.2,40.0,0.0,246.22,1e-05,0.005385798223423311,0.0,158.85109660084635,0.15095243166233452,success,
125.2,40.0,0.0,246.22,1e-05,0.015310876837219663,0.0,158.8510970035049,0.1509280688005964,success,
125.2,40.0,0.0,246.22,1e-05,0.04352612923837056,0.0,158.85109809337783,0.15096397201047165,success,
125.2,40.0,0.0,246.22,1e-05,0.12373712796577939,0.0,158.85110091715597,0.15086431051798682,success,
125.2,40.0,0.0,246.22,1e-05,0.3517628859981954,0.0,158.85110734098976,0.1509242065844633,success,
125.2,40.0,0.0,246.22,1e-05,1.0,0.0,158.8511197762681,0.15091840074939755,success,
125.2,40.0,0.0,246.22,0.0001,0.005367444209030211,0.0,158.85054617064418,0.15092352453156524,success,
125.2,40.0,0.0,246.22,0.0001,0.015269120805651007,0.0,158.8505501688435,0.15087962684351783,success,
125.2,40.0,0.0,246.22,0.0001,0.04343707006498892,0.0,158.8505610751681,0.15088790028367272,success,
125.2,40.0,0.0,246.22,0.0001,0.12356828397955122,0.0,158.8505891791405,0.15095753829866024,success,
125.2,40.0,0.0,246.22,0.0001,0.35152280719684637,0.0,158.85065355739138,0.15093612076294063,success,
125.2,40.0,0.0,246.22,0.0001,1.0,0.0,158.85077798986558,0.15092271406039687,success,
125.2,40.0,0.0,246.22,0.001,0.005185627066793764,0.0,158.84502917591283,0.15092857290667833,success,
